term,abbr_by_first_letters
Смита кесарево сечение,СКС
апноэ,А
летальность больничная,ЛБ
обонятельная нить,ОН
Ambard,A
язва чиклеров,ЯЧ
коэффициент рождаемости,КР
либидо,Л
Вальденстрема макроглобулинемия,ВМ
Маляревская,М
хромотропия,Х
Венсана ангина,ВА
Юинга болезнь,ЮБ
питание полноценное,ПП
Sacralis mediana,SM
пневмотиф,П
Ромберг,Р
от-,О
Prostaticus,P
Copeman,C
палочка Пфейффера,ПП
Binswanger,B
спациоэлектрокардиография,С
бугорок ушной раковины,БУР
b-кетомасляная кислота,BКК
феромоны,Ф
диафиз,Д
Сауттера-Путти операция,СПО
Chamberland,C
кессонная болезнь,КБ
Rorschach,R
кривизна желудка малая,КЖМ
фактор XIII,ФX
сахара,С
фолликулит сетчатый рубцующийся эритематозный,ФСРЭ
орографические факторы среди,ОФС
предстательные проточки,ПП
Desjardins,D
нейтропения наследственная периодическая,ННП
эпителиома эритематозная множественная Литтла,ЭЭМЛ
анестезия сексуальная,АС
головка придатка,ГП
дискартроз,Д
нозокомиальный,Н
Вернике аутопсихоз экспансивный,ВАЭ
спазмофилия,С
дерматит лихеноидный зудящий,ДЛЗ
Pichler,P
Coomos,C
Хаты феномен,ХФ
медицинское освидетельствование,МО
зооноз,З
трихатрофия,Т
остеодисплазия фиброзная,ОФ
венесекция,В
тифоид холерный,ТХ
гладилка,Г
ритм сердца номотопный,РСН
околоушно-жевательная область,ОЖО
гемиколэктомия,Г
приматы,П
ацетиленовый метод,АМ
диатез невропатический,ДН
Balzer,B
Гольджи аппарат,ГА
Роже болезнь,РБ
психобиология молекулярная,ПМ
санитарная двуколка,СД
ретропозиция матки,РМ
литопедион,Л
сердечно-сосудистая недостаточность,ССН
эритродермия десквамативная новорожденных,ЭДН
пастеризация вакуумная,ПВ
бленнорея новорожденных,БН
эргостерин,Э
язычковая ветвь верхняя,ЯВВ
хромо-,Х
Basium (ossium metatarsalium) plantaria,B(MP
Герксгеймера-Яриша-Лукашевича реакция,ГЯЛР
Procerus,P
Splanchnici pelvini (erigentes),SP(
Странского рефлекс,СР
Glutaea caudalis,GC
менингомиелолиз,М
перепонка стремени,ПС
атопен,А
Metatarseae dorsales pedis,MDP
гиперосмос,Г
Фейльгена реакция,ФР
Knies,K
макроподия,М
платиспондилия,П
ступорозное состояние,СС
микрокапсулирование,М
фуникуло-,Ф
Howell,H
Шильдера-Штенгля симптом,ШШС
папилломатоз папулезный сливающийся,ППС
Jugularis anterior,JA
аллешериоз,А
готтентотский передник,ГП
мальпигиев слой,МС
Лидбеттера операция,ЛО
анергия,А
вагус-пульс,ВП
соустье каротидно-югулярное,СКЮ
Vag. tendinis m. extensoris digiti quinti,VTMEDQ
Смита болезнь,СБ
ангина грибковая,АГ
миозин,М
Ашофф,А
тригеминия,Т
ультрафиолетовая проба,УП
стандартизованный показатель,СП
микроинсульт,М
патологическое состояние,ПС
аутофагосома,А
носовая пила Воячека,НПВ
энтерогастрин,Э
пазуха перикарда косая,ППК
Мак-Бернея разрез,МБР
ареактогенность вакцины,АВ
Гамны сидерофиброзные узелки,ГСУ
Шнидера дегенерация роговицы,ШДР
отметчик склеры,ОС
Романова симптом,РС
термоконтейнер,Т
капсид,К
кининаза,К
отсутствие,О
альвеицины,А
Pecquet,P
органо-,О
перегородка языка,ПЯ
лишай пузырьковый,ЛП
Траутманна треугольник,ТТ
диализ желудочно-кишечный,ДЖК
тританомалия,Т
Ядассона эпителиома кожи туловища,ЯЭКТ
томореспираторная проба,ТП
Bb. subtendineae m. sartorii,BSMS
"Interossea ossium metatarsalium,",IOM
остеоцит,О
недоступность,Н
Rapoport,R
Semispinalis thoracis,ST
Ашнера,А
атерогенные факторы,АФ
грундиммунитет,Г
Сержана синдром,СС
спина,С
апоферритин,А
центр,Ц
микроспления,М
Лукомский,Л
Конрада синдром,КС
вектор реполяризации,ВР
Meningicus (n. mandibularis),M(M
трофобластоциты,Т
палин-,П
Sine comite,SC
Гешля извилины,ГИ
нингидрин,Н
Volhard,V
нервные газы,НГ
перистальтика голодная,ПГ
металейшманиоз,М
базальное тельце,БТ
трупное разложение,ТР
космические переживания,КП
полифиодонтизм,П
Grasset,G
овальбумин,О
Риникер,Р
токсо-,Т
векторкардиоскопия,В
vasavasorum,V
неврома ганглионарная,НГ
Leduc,L
карбоангидраза,К
память,П
эрогенная зона,ЭЗ
полоска внутренней зернистой пластинки,ПВЗП
ларвоциста,Л
медицинское ландшафтоведение,МЛ
трудовая нагрузка,ТН
Клатуорти операция,КО
протромбиновый коэффициент,ПК
билирубинемия,Б
Либмана болезнь,ЛБ
Беринга феномен,БФ
Эвальд,Э
ми-,М
Partsch,P
Schauta,S
морфогенез эмбриональный,МЭ
Курлова ординаты,КО
синдром лучевого нерва,СЛН
Фрейзер,Ф
Негеле перфоратор,НП
медико-санитарный отряд флота,МСОФ
мысли контрастные,МК
брахи-,Б
аппендикулярный,А
Temporales superficiales,TS
"perinei profunda propria,",PPP
нарыв,Н
Монакова феномен,МФ
аортальное сплетение брюшное,АСБ
Банти признак,БП
БОЕ,Б
противошумы,П
бронхофиксатор,Б
Буннелль,Б
мезокардиаортит,М
санитарный катер рейдовый,СКР
реактивность,Р
сфигмоманометр,С
ферритин,Ф
орхифуникулэктомия,О
Вебера болезнь,ВБ
головокружение гортанное,ГГ
интерференция вирусов,ИВ
десмосома,Д
глоссит ромбовидный,ГР
игла-вилка лигатурная,ИВЛ
миодистрофия,М
лестница утомления миокарда,ЛУМ
Филатова болезнь,ФБ
Macnaughton,M
внутричерепное давление,ВД
Labiales superiores,LS
резекция,Р
Крогиуса способ,КС
Cranii,C
стимуляция родов,СР
биофармация,Б
конъюнктивит геморрагический острый,КГО
ecthyma escharoticum,EE
меккелева полость,МП
пресениум,П
F. colli,FC
бугорок оплодотворения,БО
мания гневливая,МГ
дисгенезия лимфоцитарная,ДЛ
каталепсия,К
раздражимость,Р
"Cricothyreoidea posteriora,",CP
Грасиоле пучок,ГП
инактивация,И
Meningeus accessorius ramus,MAR
мегалоуретер,М
гетеротопия пассивная,ГП
гранулема носа злокачественная неспецифическая,ГНЗН
о-дифенолоксидаза,ОД
Palmaris brevis,PB
Дюплея синдром,ДС
биогенные средства,БС
Flexor accessorius,FA
телео-,Т
курация,К
лекарственная пропись,ЛП
тахистоскоп,Т
кариосфера,К
синдром носоресничного нерва,СНН
Лоу синдром,ЛС
синартроз,С
оптический квантовый генератор,ОКГ
зернистая пластинка наружная,ЗПН
лихорадка мальтийская,ЛМ
канцерогены,К
спазмогенный,С
Гейнсиуса операция,ГО
Штрайта операция,ШО
Приоло,П
сано-,С
Giemsa,G
асимметрия хроматическая,АХ
полиплоидия,П
гетерогенный,Г
трепано-,Т
Кохера схема,КС
глаз схематический,ГС
роландова борозда,РБ
Busch,B
Junet,J
"magna, большая",MБ
утрата непрерывности сознания «я»,УНС«
Зонне дизентерийная бактерия,ЗДБ
«шагома» вторичная,«В
млечная цистерна,МЦ
психастения,П
бета-адреноблокирующие средства,БАС
компаратор,К
ахроматиновая ядерная сеть,АЯС
фильтрационная фракция,ФФ
сосуд(-ы),СЫ
жировое тело щеки,ЖТЩ
диоптограф,Д
перколятор,П
гастроптоз,Г
Мартине проба,МП
соматогения,С
реваскуляризация,Р
Calve,C
Розенберга-Винокурова-Лендорффа симптом,РВЛС
Schridde,S
Richet,R
отсроченная реакция,ОР
Emmet,E
нуклео-,Н
акамуши,А
мания спутанная,МС
панкреолитиаз,П
Цейсслера среда,ЦС
активность переносчика инфекции,АПИ
Mizuo,M
врачебно-питательный пункт,ВПП
малоберцовый блок,МБ
Федорова почечное зеркало,ФПЗ
Сегла зрительные вербальные галлюцинации,СЗВГ
Тобиас,Т
Belot-Petenil,BP
Максимова смесь,МС
прохейлия,П
реадаптация,Р
ларвициды,Л
тенотом,Т
протеиноз липоидный,ПЛ
Colli costae,CC
перитомия,П
метаболиты,М
лимфангиоэндотелиома,Л
Жирара ножницы-пинцет,ЖНП
Ван-Некка болезнь,ВНБ
ацистия,А
остаточный объем легких,ООЛ
дерматит эксфолиативный генерализованный подострый,ДЭГП
паховый промежуток,ПП
Бокальчука проба,БП
мозг большой,МБ
Mesmer,M
Beevor,B
Вальтер,В
адаманто-,А
эритроз пигментный околоротовой,ЭПО
Фанкони-Шлезингера синдром,ФШС
органоскопия,О
Bonica,B
Дюпюи-Дютана симптом,ДДС
Gastroduodenalis,G
рефракция хрусталика,РХ
невус кератоатрофический,НК
Pharyngoesophagicus dorsalis plexus,PDP
сахаромикоз,С
госпитализм,Г
ортостатический феномен,ОФ
крыловидные ветви,КВ
пигментные зерна,ПЗ
Splenius capitis,SC
фотооксигемометр,Ф
Лидбеттер,Л
Ван-Слайка методы,ВСМ
плазмодесма,П
фасциальное пространство,ФП
сыворотка крови,СК
нейрофиламент,Н
Dorsalis clitoridis,DC
Фендта,Ф
спирохетоз,С
"Flexor digitorum communis profundus,",FDCP
Галле синдром,ГС
Белла аппарат,БА
вентрикулосцинтиграфия,В
аксонный бугорок,АБ
Clouston,C
обтуратор,О
антр-,А
парасимпатикотония,П
стопа маршевая,СМ
Пехкранца,П
акрофобия,А
ретенция,Р
CL100,C
почка подвздошная,ПП
переливание костного мозга,ПКМ
диализ перитонеальный,ДП
анаэростат,А
влагалищный отросток брюшины,ВОБ
Meissner,M
Heine,H
Сивцева таблицы,СТ
лабораторная посуда,ЛП
мимика,М
дипептиды,Д
диагностические средства,ДС
соощущения,С
Лютца серпигинозный фолликулярный кератоз,ЛСФК
Ханта синдром,ХС
вредное вещество,ВВ
Жане шприц,ЖШ
папиллотомия,П
миомэктомия,М
малонилмочевина,М
"rami (PNA,",R(
Musculares (n. axillaris),M(A
Зелльгейма симптом,ЗС
радиоизотоп,Р
кардиоартериальный интервал,КИ
сосок зрительного нерва,СЗН
фистулография,Ф
Gifford,G
Нажотта синдром,НС
гастроскоп волоконный,ГВ
угри белые,УБ
носилки,Н
рибулоза,Р
колициногения,К
"Collicularis anterior,",CA
Peteny,P
спондилопатия табетическая,СТ
Вернике энцефалопатия,ВЭ
Bassini,B
пуповинный метод переливания крови,ПМПК
коронкосниматель,К
т. д Галла болезнь,ТДГБ
Altmann,A
секс-,С
птилоз,П
аденома эмбриональная фолликулярная,АЭФ
НАД,Н
пружинящая неподвижность,ПН
авульсия,А
дейтераномал,Д
Гоффы остеотомия,ГО
наркосинтез,Н
эквифинальность,Э
Пирогова ампутация,ПА
ювенильный,Ю
Мобитца интерферирующая диссоциация,МИД
аортит,А
токсокароз,Т
Крюкова,К
Лассюэр,Л
мысли суицидальные,МС
артикуляция,А
дегазация,Д
пульпа зубного органа,ПЗО
ритм сердца искусственный,РСИ
цистоскоп-литотриптор,ЦЛ
Бехтерева центральный пучок покрышки,БЦПП
почка пятнистая желтая,ППЖ
фтизиатрия,Ф
Саттон,С
аранциев проток,АП
радонотерапия,Р
Танич,Т
папиллэктомия,П
Олби артродез,ОА
"Aponeurosis pharyngobasilaris,",AP
ветвь к барабанной перепонке,ВКБП
носослезный канал,НК
урорентгенокинематография,У
разрыв сердца внешний,РСВ
Матти костная пластика,МКП
ангина ульцерозная,АУ
ктетосома,К
гетеротрансплантация,Г
дерматоз тропический,ДТ
дерматом,Д
деперсонализация бредовая,ДБ
ихороторакс,И
суспензии,С
дрозофила,Д
антипириниды,А
Soresi,S
Миллера теория,МТ
Крисчена синдром,КС
интимотромбэктомия,И
тест дегрануляции тучных клеток,ТДТК
массаж легкого,МЛ
суперпозиция,С
ацидофильный индекс,АИ
гонотрофическая дисгармония,ГД
губа вертлужная,ГВ
Рельман,Р
питуитрином,П
Ethmoides os,EO
атимолимфоплазия,А
отолитовая реакция,ОР
инкарцерация,И
объем циркулирующей крови,ОЦК
Дайк,Д
кинезиграфия,К
экстирпация желудка,ЭЖ
тиф сыпной Сан-Пауло,ТССП
вестибулорецепторы,В
болезни микоплазменные,БМ
"Afferens,",A
Гаусса способ,ГС
геноцид,Г
продуцент,П
Sacrococcygeus ventralis,SV
мотивация,М
очаг инфекционной болезни,ОИБ
альфа-ингибитор,АИ
трицефалия,Т
Пейрони болезнь,ПБ
бляшка ксеротическая,БК
лордоз,Л
Зверева операция,ЗО
умственной отсталостью,УО
Мерритт синдром,МС
расщелина мочевого пузыря,РМП
базио-,Б
ворота оливного ядра,ВОЯ
Palpebrale nasale,PN
подмышечная область,ПО
антибластика,А
акрокраниодисфалангия,А
Pentatrichomonas hominis,PH
Amoss,A
фибриновый сгусток,ФС
Лютца верруциформная эпидермодисплазия,ЛВЭ
грязевое хозяйство,ГХ
синдром ипохондрически-сенестопатический,СИС
криоаппликация,К
морфинизм,М
пластинчатый комплекс,ПК
Нагамацу доступ,НД
морбилливирусы,М
биоптат,Б
Зильбера штамм вируса,ЗШВ
дерматотлазия,Д
илиоспондилодез,И
Пешкова среда,ПС
гангоза,Г
фактор рака молочных желез мышей,ФРМЖМ
Китамуры акропигментация,КА
инсулокарцинома,И
назофарингит менингококковый,НМ
Рей,Р
анестезиология,А
макроглобулинемия,М
К-мейоз,КМ
Оты невус,ОН
нейропиль,Н
рейтеры,Р
"scapulae, тыльная",SТ
Apelt,A
расчленение трупа,РТ
Огнева операция,ОО
акория,А
Льюиса триада,ЛТ
зрительная ось,ЗО
метанефрогенный тяж,МТ
ветвь к нижней доле верхушечная (верхняя),ВКНДВ(
артериола (-ы),А(Ы
активатор,А
Линдау болезнь,ЛБ
Тауссиг-Бинга синдром,ТБС
гинекомания,Г
Диллона проба,ДП
плазмида,П
бугорок передней лестничной мышцы,БПЛМ
спермий,С
Boeck,B
Ниландера проба,НП
Hertwig,H
мания хроническая,МХ
система1,С
Брокенборо,Б
эйфория,Э
синдром зрительного нерва,СЗН
Тевенара синдром,ТС
анатомический театр,АТ
паравезикулит,П
Schroetter,S
аспермия,А
Calcaneocuboidea pars,CP
сосудистая пластинка,СП
Юханссона синдром,ЮС
долинка мозжечка,ДМ
проказа,П
Селье учение,СУ
прогестерон,П
луковицеобразное тельце,ЛТ
Bayer,B
гидраденит,Г
нижнеглазничное отверстие,НО
Retinaculum patellae tibiale,RPT
шок эмоциональный,ШЭ
миоэстезиометр,М
Бимонда синдром,БС
Моро проба,МП
наркогипноз,Н
артериит гигантоклеточный,АГ
рефлюкс пиелосинусный,РП
криоконсервант,К
теория зародышевого пути,ТЗП
реконвалесцент,Р
Circumflexae femoris fibulares,CFF
chilblain lupus,CL
бактериолиз,Б
молокоотделение,М
цветовой интерьер,ЦИ
фильтрация клубочковая,ФК
Ноака синдром,НС
гериатр,Г
Levy,L
трихромазия,Т
Origo nasalis m. orbicularis oris,ONMOO
Hailey,H
илеоколопластика,И
"Sternocardiacum superius,",SS
комедокарцинома,К
самоутверждение,С
истерогенные зоны,ИЗ
слезное озеро,СО
способ флотации,СФ
Фарабефа вычленение,ФВ
Greenfield,G
Де Верд,ДВ
эп-,Э
Bronchiales rami,BR
критический период,КП
Hollo,H
Corynebacterium diphtheriae,CD
ксеро-,К
синдром ретракции глазного яблока,СРГЯ
радиофотограф,Р
гелиопатология,Г
плезиантропы,П
Роллера ядро,РЯ
Фищенко,Ф
Ригеля признак,РП
микротравма,М
расщелина верхней челюсти,РВЧ
единица хромосомной карты,ЕХК
"externus plexus venosus posterior (PNA,",EPVP(
Стольников,С
Nodi lymphatici submentales,NLS
Tarseae tibiales,TT
апоплексия пальцев,АП
Матвеева,М
гипостатура,Г
спленит сифилитический гуммозный,ССГ
санаторно-курортная помощь,СКП
полиганглионит,П
морганиев желудочек,МЖ
дисбаланс пищевых веществ,ДПВ
паратифлит,П
межплевральное пространство нижнее,МПН
дизентерия амебная,ДА
Adarnkiewicz,A
Robertson,R
Видмера симптом,ВС
везиканты,В
Gnathostoma spinigerum,GS
Bakwin,B
Леннандера симптом,ЛС
ангиоретикулосаркома,А
Spinales extemae dorsales,SED
Полянцева,П
гемоалкалиметр,Г
устье мочеточника,УМ
нейрофибрилла,Н
симптом латерализационный,СЛ
нейровирусы,Н
"Triquetrum (Tourtual),",T(
эритромелия,Э
Werlhof,W
Connors,C
термофор,Т
F. diaphragmatis urogenitalis,FDU
токсикофобия,Т
гонион,Г
протодиастолический,П
крылонебная борозда,КБ
пресклероз,П
Glutaeus caudalis,GC
Gastrica sinistra,GS
Якобсона-Ласка рефлекс,ЯЛР
антисептики,А
литическая смесь,ЛС
Привеса метод,ПМ
вирулентность,В
гликохолевая,Г
"Iliacus ramus,",IR
Cuboides os,CO
крауроз вульвы,КВ
Гаудека ниша,ГН
параноид острый,ПО
Interfoveolare (Hesselbachi),I(
фиброма кости неоссифицированная,ФКН
циклон,Ц
звукопроводимость тканевая,ЗТ
фонтановы пространства,ФП
Chediak,C
ута,У
гипсовый оттиск,ГО
косая хорда,КХ
складка хвоста придатка яичка,СХПЯ
калькурия,К
Gorham,G
Цыпляева-Яновского метод,ЦЯМ
бластомер,Б
тромбидиаз,Т
Барроуза среда,БС
Нормана - Вуда форма амавротической идиотии,НВФАИ
люэтин,Л
амилорея,А
Leopold,L
промегакариоцит,П
пастереллез,П
репрессор,Р
Базетта формула,БФ
пищевые обогатители,ПО
артрит,А
мезентерий,М
Buschke,B
Рейсснера мембрана,РМ
Phelps,P
инсулярная область,ИО
Longitudinalis profundus,LP
адренергические средства,АС
авидин,А
отросток бугра пяточной кости медиальный,ОБПКМ
Подреза,П
коечный коэффициент,КК
узлы околосуставные,УО
препуциальный,П
Stemocleidomastoideus,S
Дюфо игла,ДИ
дейтероцель,Д
B. subcutanea sacralis,BSS
Buzzi,B
суперген,С
Феноменова ножницы,ФН
Нейманна болезнь,НБ
листереллема,Л
фиброадения селезенки,ФС
Кохера грыжесечение,КГ
palmares communes (PNA;,PC(
геотрихоз,Г
хроматограф,Х
гипертония осмотическая,ГО
синапс вазоневральный,СВ
амаксофобия,А
аптечная монополия,АМ
дистрофия раневая,ДР
рентгеновское облучение,РО
Baffes,B
ахейрия,А
пансинусит,П
маршанова клетка,МК
фтизиофобия,Ф
звуковосприятие,З
B. ischiadica m. glutaei maximi,BIMGM
Уинтерботтома признак,УП
ости Галанта кистевой симптом,ОГКС
лимбит трахоматозный,ЛТ
эмбриотомия,Э
"ramus (PNA,",R(
Mammarii laterales rami,MLR
Де Блонден,ДБ
Ferreti,F
межкорневая перегородка,МП
санитарно-защитная зона,СЗЗ
Mitsuda,M
энт-,Э
Тареев,Т
Раздольского симптом,РС
нефрорафия,Н
Talotibiale posterius,TP
Демона,Д
Винсона синдром,ВС
Кальфа,К
ресницы,Р
каузалгия,К
Uhlenhuth,U
акнит,А
"Aponeurosis temporalis,",AT
анеморумбометр,А
факоэмульсификатор-аспиратор ультразвуковой Келмана,ФАУК
диссоциация чувствительности,ДЧ
Nodus lymphaticus malaris,NLM
возбудитель инфекции,ВИ
Коуза синдром,КС
иммунобласт Рапопорта,ИР
Мак-Бернея точка,МБТ
противозачаточные средства,ПС
кальцергены,К
Кабана болезнь,КБ
кадаверин,К
Швабаха опыт,ШО
infraspinata,I
барабанное утолщение,БУ
канальцевая проба,КП
Скорпиля опухоль,СО
синовиоэндотелиома,С
дельта-базофилы,ДБ
Фриша-Волковича палочка,ФВП
функциональное подразделение,ФП
эритромицин,Э
адипоз-,А
цервикальный,Ц
OS,O
Hershberger,H
нейрохирургия,Н
Педжета болезнь,ПБ
Estren,E
Розенштрауха-Эндера способ,РЭС
базилярный,Б
дерматит рентгеновский,ДР
родопсин,Р
Obermcier,O
МОД,М
Disse,D
энцефалит Редлиха,ЭР
болезни наследственные,БН
гипервалинемия,Г
нозогеографическая карта,НК
Шмитц,Ш
пруриго Гебры,ПГ
уретероректостомия,У
Calcaneonaviculare,C
геморезистограмма,Г
Вейля болезнь,ВБ
денудация яйца,ДЯ
вертебрально-базилярная недостаточность,ВБН
дисметрия,Д
Линдау киста,ЛК
спленосканирование,С
миокардит идиопатический,МИ
Киллиана триада,КТ
кейлоны,К
Спасокукоцкого дренаж,СД
Brugsch,B
бестеневая лампа,БЛ
Helmholtz,H
Брока закрытая инфундибулэктомия,БЗИ
Pastia,P
овина,О
симптом червячка,СЧ
зачатие,З
голодание ультрафиолетовое,ГУ
Macularis inferior arteriola,MIA
Каравена операция,КО
слабоумие врожденное,СВ
апоневрозит стопы,АС
гранулез,Г
гимбернатова связка,ГС
Blondin,B
Микулича пилоропластика,МП
санитарное обеспечение,СО
Pectineus,P
геморроидальная зона,ГЗ
свидетельство,С
Лаврентьева метод,ЛМ
ангиит Роскама,АР
сегмент спинного мозга,ССМ
иммунитет тканевой,ИТ
Lowrick,L
Strassmann,S
преобразователь давления медицинский,ПДМ
Линденбратена симптом,ЛС
Ефуни,Е
гаверсов канадец,ГК
Killian,K
астения,А
офтальмия метастатическая,ОМ
электронож,Э
циклэктомия,Ц
гидрорея амниональная,ГА
Schouldice,S
Trousseau,T
Wittek,W
амблинойя,А
эвокаторы,Э
"Intestinalesileae,",I
"F. transversa,",FT
Бамбергер,Б
Менделя рефлекс,МР
морганиева катаракта,МК
тиреорадиография,Т
Arytenoideus obliquus,AO
Гораша нефропексия,ГН
консервирование трупа,КТ
полиаденома стелящаяся,ПС
Maxilla,M
клоацины,К
ортопедический стол,ОС
индекс половой конституции,ИПК
насечка миелина,НМ
Gibert,G
теория бегущей волны,ТБВ
гистиоцитома гемосидериновая,ГГ
Шамберлана свечи,ШС
клиренс-тест,КТ
фелляция,Ф
гидронефроз,Г
хейлосхизис,Х
"Pharyngeus,",P
парабионты,П
десневой край,ДК
нижнеглазничная щель,НЩ
анорексия нейродинамическая,АН
Weyers,W
надколенник,Н
Краснова гониолинза,КГ
Hodge,H
трохо-,Т
гранулоцитопения,Г
Вексберга феномен,ВФ
лекарственные аэрозоли,ЛА
Communicans posterior,CP
B. trochanterica m. glutaei minimi,BTMGM
Хортона мигрень,ХМ
Гольмгрена операция,ГО
визуализация,В
Фосса метод,ФМ
Couvelaire,C
Фишера стереоскопические картинки,ФСК
Шинкаренко-Мохова проба,ШМП
Schwachman,S
некросадизм,Н
Симпсона игла,СИ
гранулема эозинофильная,ГЭ
Рысс,Р
пандактилит,П
Витцеля гастростомия,ВГ
кантопластика,К
Рича штамм вируса,РШВ
средостение яичка,СЯ
спинномозговой узел,СУ
хрящ кольцевидный,ХК
бруцеллиды,Б
гейдельбергская система,ГС
мертворождаемость,М
Харады-Мори метод,ХММ
Thoracica aorta,TA
головной указатель,ГУ
Льето треугольник,ЛТ
"Biceps cruris,",BC
яичник,Я
COL-фактор,CФ
"Capsularis inferior,",CI
терм-,Т
тест «ожерелья»,Т«
световой импульс,СИ
Johnstone,J
нейротахометр,Н
лучевая реакция,ЛР
вегетоневроз,В
Вейерса синдром,ВС
аномалоскоп,А
Либмана признак,ЛП
стереоакузия,С
тиф сыпной клещевой Северного Квинсленда,ТСКСК
Adier,A
заразительность,З
ПДК,П
антропология,А
Стента оттискная масса,СОМ
Schiff,S
Барона трахископия,БТ
невесомость,Н
иридоцеле,И
Hepatica,H
Cutaneus antibrachii dorsalis,CAD
Olivecrona,O
цианодермия,Ц
Смит-Петерсена артродез,СПА
лейколизины,Л
Дюбо реакция,ДР
предзатылочная вырезка,ПВ
Ру пневмотомия,РП
микродентизм,М
Tarsometatarsea dorsalia,TD
фотокератограмма,Ф
Поллак,П
лейкоплакия никотиновая,ЛН
Феноменов,Ф
мюллеров проток,МП
иРНК,И
иерофобия,И
гемигидроз,Г
периостит альбуминозный,ПА
Testicularis,T
зонестезия,З
Рейманна болезнь,РБ
макраканторинхоз,М
Клейста апатическая гебефрения,КАГ
Malgaigne,M
гранулопоэз,Г
выпадение прямой кишки,ВПК
Бира гастропексия,БГ
Ветцеля проба,ВП
камптокормия,К
сеть овального отверстия,СОО
пещеристый синус,ПС
опознание трупа,ОТ
синдром мозолисто-краевой артерии,СМКА
фаланги,Ф
фильтр-поглотитель,ФП
симптом автоматического приподнимания руки,САПР
Anococcygei,A
Maissiat,M
невриноматоз,Н
пограничный матрикс,ПМ
Миля синдром,МС
холедоходуоденостомия,Х
конъюнктивальная проба,КП
кинуренин,К
ульцерозный,У
гистероскопия,Г
висмут,В
венерология,В
склероз-гиалиноз,СГ
Майера кататимное мышление,МКМ
скарификатор Грефе,СГ
тифломегалия,Т
Лихтгейм,Л
калориметрическая камера,КК
тромбоцитопоэз,Т
гематоксилин,Г
полиганглионеврит,П
пикнолепсия,П
гидрометра,Г
трансгрессия,Т
"Cremaster externus,",CE
дуоденоеюностомия,Д
антинозологизм,А
реабсорбция,Р
пентозофосфорные кислоты,ПК
интракутанный,И
тиреоидэктомия,Т
феминизация,Ф
индикаторная трубка,ИТ
Nutricia femoris distalis,NFD
деманд-стимуляция,ДС
дентинный отросток одонтобласта,ДОО
контрольная карта диспансерного наблюдения,ККДН
лишай золотушных,ЛЗ
средств адъювант неполный,САН
Лоренца способ,ЛС
Брока ихтиозиформный дерматоз,БИД
диализ легочный,ДЛ
метанефрос,М
меланхолия пресенильная злокачественная,МПЗ
вивисекция,В
Шиммельбуша ринопластика,ШР
отверстие аорты,ОА
гипофизит,Г
перихондр,П
гомеопатия,Г
ретинопатия,Р
Phalanx tertia,PT
кортикостероиды,К
синдром экзогенный,СЭ
перфузионная проба,ПП
кисть атрофическая Арана,КАА
НОВ,Н
tortuositas vasorum retinae,TVR
трихион,Т
пылеулавливание,П
флюорограф,Ф
Steiner,S
фолиевая кислота,ФК
дерматомиозит,Д
анодонтия,А
Tietze,T
"признак, сцепленный с полом",ПССП
Шампи фиксаж,ШФ
ауторадиография,А
situs viscerum inversus,SVI
предварительные сведения,ПС
Serratus anterior,SA
Freiberg,F
Макай,М
Бюшельбергера вытяжение,БВ
трудоспособность,Т
лодыжка латеральная,ЛЛ
метгемоглобинемия,М
оптическая проба,ОП
артериопьезограмма,А
настойка,Н
антитоксины,А
Gonionemus vertens,GV
дерматолиз Алибера,ДА
проспора бактерии,ПБ
Пассова операция,ПО
Sacks,S
пазуха предплюсны,ПП
арафия,А
Duane,D
сенсорная недостаточность,СН
катаболизм,К
Nodi lymphatici paramammarii,NLP
синергизм,С
нормоспермия,Н
карбоксикатепсин,К
Ранвье перехват,РП
изоферменты,И
адаптационная проба,АП
гидраденома,Г
"Aponeurosis ischiorectalis,",AI
воспоминания насильственные,ВН
Энгла аппарат,ЭА
криз пубертатный,КП
Фишера симптом,ФС
Фарбера проба,ФП
Фореля перекрест,ФП
железо,Ж
группа инвалидности,ГИ
санитарное законодательство,СЗ
Corporis cavernosi clitoridis minores,CCCM
затылочная область,ЗО
Hirnswort,H
барабанная полость,БП
Коккейн,К
Aodereen,A
пойкилоцитоз,П
Фурнье,Ф
Pool,P
височная линия,ВЛ
гетерометропия,Г
Заблоцкого-Десятовского,ЗД
Асеведо,А
макроангиопатия диабетическая,МД
ритм эндогенный,РЭ
анализ органолептический,АО
Ядассона интраэпидермальная эпителиома,ЯИЭ
Straus,S
Уилкинса проба,УП
Гренблад-Страндберга синдром,ГСС
Аксенфельда палочка,АП
коллоксилин,К
Прингла стеатоцистома множественная,ПСМ
Сестан,С
Гона среда,ГС
Sporothrix,S
луковица заднего рога,ЛЗР
гидраргиризм,Г
истерия травматическая,ИТ
кариес эмали,КЭ
индивидуальная карта амбулаторного больного,ИКАБ
сердечная пауза,СП
Гласса,Г
Pulmonalis superior dextra,PSD
амавроз,А
Рембеза метод,РМ
саливогландулез эпидемический,СЭ
урология,У
Нобля операция,НО
Вейхбродта реакция,ВР
микоплазмоз,М
диабет юношеский,ДЮ
дубление торфяное,ДТ
деструктор,Д
Дюпюитрена абсцесс,ДА
влагалище слизистое,ВС
эмбриоцитома,Э
Люкке,Л
скобки металлические,СМ
сбор,С
гиперкальциемия,Г
Sabathie,S
